iron tawa/pan/nail | is | left
nitrogen gas | is available in | plenty in air
plenty | is in | air
nitrogen gas | is | available
they | can use carbon dioxide in | manner
they | can use | carbon dioxide
They | need in | soluble form
They | need in | form
They | need nitrogen in | soluble form
They | need | nitrogen
They | need nitrogen in | form
addition | Hence enriches | soil
addition | enriches | soil
bacterium | can take | nitrogen
bacterium | convert | it
bacterium | can take | atmospheric nitrogen
it | provides | them
it | often lives in | roots
it | often lives in | roots of gram
it | lives in | roots of gram
it | lives in | roots
plants | provide food to | bacteria
plants | provide | food
plants | provide food In | return
leguminous NUTRITION | are | where grown
They | can reduce | use
leguminous NUTRITION | are | grown
leguminous NUTRITION | are | IN PLANTS grown
leguminous NUTRITION | are | where IN PLANTS grown
NUTRITION | are | where grown
NUTRITION | are | where IN PLANTS grown
NUTRITION | are | grown
NUTRITION | are | IN PLANTS grown
most | are | autotrophs
few plants | are | parasitic
plants | are | parasitic
They | derive | nutrition
They | derive | nutrition from other organisms
They | derive | nutrition from organisms
animals | are categorised as | heterotrophs
animals | are | categorised
they | depend on | plants
it | get | energy for growth of their body
organisms | need | food
it | get | energy
you | utilise | it
it | get | energy for growth
Green plants | synthesise | food
Green plants | synthesise food for | themselves
Green plants | synthesise food by | process of photosynthesis
Green plants | synthesise food by | process
They | are | autotrophs
Plants | are | parasites
They | take food from | host plant
They | take | food
Plants | use chemical substances for | synthesis of food
Plants | use | simple chemical substances like carbon dioxide
Plants | use | chemical substances
Plants | use | simple chemical substances
Plants | use | chemical substances like carbon dioxide
Plants | use chemical substances for | synthesis
Chlorophyll | are | requirements
Chlorophyll | essential requirements | sunlight
Chlorophyll | are | essential requirements
Chlorophyll | requirements | carbon dioxide
Chlorophyll | essential requirements | water
Chlorophyll | essential requirements | carbon dioxide
Chlorophyll | requirements | sunlight
Chlorophyll | requirements | water
Chlorophyll | are essential requirements for | photosynthesis
Chlorophyll | are requirements for | photosynthesis
chemical substances | are products of | photosynthesis
Complex chemical substances | are products of | photosynthesis
chemical substances | are | products
Complex chemical substances | are | products
Solar energy | is absorbed by | chlorophylls
Solar energy | is absorbed by | chlorophylls present
Solar energy | is absorbed by | chlorophylls present in leaves/plants
Solar energy | is | absorbed
Oxygen | is | produced
Oxygen | is produced during | photosynthesis
Oxygen | is utilised by | living organisms
Oxygen | is utilised for | their survival
Oxygen | is | utilised
Oxygen | is utilised by | organisms
Oxygen | is | utilised by organisms for their survival
Oxygen | is | utilised by living organisms for their survival
Oxygen | released in | photosynthesis
Many fungi | derive | nutrition from matter
fungi | derive | nutrition from matter
fungi | derive | nutrition from dead matter
fungi | derive | nutrition
Many fungi | derive | nutrition
Many fungi | derive | nutrition from dead matter
They | are | saprotrophs
few plants | called | animals
plants | called | animals
few plants | dependent | animals
plants | dependent | animals
organisms | do take | food
you | would test | presence in leaves
you | would test | presence of starch
presence | is in | leaves
you | would test | presence of starch in leaves
you | would test | presence
food | is in | green plants
Show | is with | help of sketch
Green plants | are | called
they | synthesise | their own food
Green plants | are called | _________________
they | synthesise | their food
food | is stored as | _________________
food | is | stored
c | is In | photosynthesis solar energy
c | is | absorbed
c | is absorbed by | pigment called
c | is absorbed by | pigment
parasitic plant | is with | yellow
Cuscuta | is | example
Match items | given in | Column
Carbon dioxide | is | released
it | is | false
Carbon dioxide | is released during | photosynthesis
Solar energy | is converted during | photosynthesis
Solar energy | is | converted into chemical energy during photosynthesis
Solar energy | is converted into | chemical energy
Solar energy | is | converted
Project | Take | plant
Project | Take plant with | broad leaves
Project | Take | potted plant
Project | Take plant with | leaves
part | secure | them
two leaves | is with | papers
difference | is in | colour of covered
two parts | different occurrence of | photosynthesis results
parts | occurrence of | photosynthesis results
two parts | show | occurrence
parts | different occurrence of | photosynthesis results
parts | show | different occurrence of photosynthesis results
parts | show | different occurrence
two parts | show | different occurrence of photosynthesis results
two parts | occurrence of | photosynthesis results
parts | show | occurrence of photosynthesis results
two parts | show | different occurrence
parts | show | occurrence
two parts | show | occurrence of photosynthesis results
strip | expose | covered part
strip | expose part to | sunlight
strip | expose part to | sunlight for 2
strip | expose | part
they | grow | plants
they | regulate | amount of light grow
they | regulate | amount grow
they | regulate | amount of light
they | regulate | amount
their leaves | grow in | patterns
Light | is so important to | plants
their leaves | so absorb | maximum sunlight
their leaves | absorb | maximum sunlight
their leaves | grow in | many patterns
Light | is | so important
Light | is | important
Light | is important to | plants
2018-19 2 Nutrition | is in | Animals Y ou
Animals | get | their food
animals | eat | plants
its utilisation | is in | body
Animal nutrition | includes | nutrient requirement
food | consists of | components
food | consists of | many components
You | have studied in | Class VI
components | are | complex substances
components | are | substances
breakdown | varies in | organisms
breakdown | varies in | different organisms
infants | feed on | mother 's milk
Bees | suck | humming-birds
Bees | suck | nectar
mother | on | milk
your observations | is in | given Table
You | may find | list of modes
You | may find | list
You | may find | list of modes of feeding given below Table helpful
You | may find | list of modes of feeding
You | may find | list of modes of feeding given
You | may find | list of modes of feeding given below Table
Table 2.1 modes | feeding | 4
Table 2.1 Various modes | feeding | 4
______________________ Complex substance food | is called | digestion
______________________ Complex substance food | is | called
starfish | opening | shell
stomach | goes back into | body
stomach | goes into | body
stomach goes | is | slowly digested
stomach goes | is | digested
various glands | associated with | canal
stomach | secrete | digestive juices
glands | associated with | canal salivary glands
glands | associated with | canal
various glands | associated with | canal salivary glands
glands | associated with | canal glands
stomach | secrete | juices
various glands | associated with | canal glands
digestive juices | convert | cavity gland Oesophagus Liver Fig.
juices | convert | Buccal cavity gland Oesophagus Liver Fig.
juices | convert | Buccal cavity Salivary gland Oesophagus Liver Fig.
juices | convert | complex Buccal cavity gland Oesophagus Liver Fig.
digestive juices | convert | complex cavity Salivary gland Oesophagus Liver Fig.
juices | convert | complex cavity gland Oesophagus Liver Fig.
juices | convert | complex Buccal cavity Salivary gland Oesophagus Liver Fig.
digestive juices | convert | Buccal cavity Salivary gland Oesophagus Liver Fig.
digestive juices | convert | Buccal cavity gland Oesophagus Liver Fig.
2.2 DIGESTION | is IN | Gall bladder HUMANS
juices | convert | complex cavity Salivary gland Oesophagus Liver Fig.
digestive juices | convert | cavity Salivary gland Oesophagus Liver Fig.
juices | convert | cavity gland Oesophagus Liver Fig.
digestive juices | convert | complex cavity gland Oesophagus Liver Fig.
digestive juices | convert | complex Buccal cavity Salivary gland Oesophagus Liver Fig.
juices | convert | cavity Salivary gland Oesophagus Liver Fig.
digestive juices | convert | complex Buccal cavity gland Oesophagus Liver Fig.
unused parts | are | defecated
parts | are | defecated
food | passes through | Fig. 2.2
food components | get | digested
food components | get | gradually digested
food | travels through | various compartments
food | travels through | compartments
digestive tract | constitute | digestive system
digestive tract | together constitute | associated glands
digestive tract | constitute | associated glands
tract | together constitute | system
tract | constitute | associated glands
digestive tract | constitute | system
digestive tract | constitute | glands
digestive tract | together constitute | system
tract | constitute | glands
tract | together constitute | associated glands
digestive tract | together constitute | digestive system
tract | together constitute | digestive system
tract | constitute | digestive system
tract | constitute | system
digestive tract | together constitute | glands
tract | together constitute | glands
food | is in | different parts of digestive tract
mouth | is | taken into body through mouth
mouth | taken | buccal cavity Food
mouth | is | taken
mouth | taken | cavity Food
mouth | is taken through | mouth
mouth | is taken into | body
process | taking | food
you | falling years of | your teeth
process | taking food into | 12 SCIENCE 2018-19 Milk teeth
you | falling of | your teeth
process | taking food into | SCIENCE 2018-19 Milk teeth
set | grows during | infancy
first set | grows during | infancy
These | are termed | milk teeth
teeth | may last throughout | life
permanent teeth | may last throughout | life
Molar Boojho | is | fascinated
Boojho | is fascinated by | small intestine seen
Molar Boojho | is fascinated by | coiled small intestine seen
Molar Boojho | is fascinated by | coiled intestine seen in Fig. 2.2
Boojho | is fascinated by | highly coiled intestine
Molar Boojho | is fascinated by | small intestine
Molar Boojho | is fascinated by | small intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | coiled intestine seen
Boojho | is fascinated by | coiled small intestine seen
Molar Boojho | is fascinated by | highly coiled intestine seen
Molar Boojho | is fascinated by | coiled small intestine
Molar Boojho | is fascinated by | highly coiled small intestine
Boojho | is fascinated by | highly coiled small intestine
Boojho | is fascinated by | highly coiled intestine seen
Boojho | is fascinated by | highly coiled intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | coiled small intestine seen in Fig. 2.2
Boojho | is | fascinated
Molar Boojho | is fascinated by | intestine
Boojho | is fascinated by | highly coiled small intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | intestine seen in Fig. 2.2
Boojho | is fascinated by | highly coiled small intestine seen
Molar Boojho | is fascinated by | coiled intestine
Boojho | is fascinated by | small intestine
Boojho | is fascinated by | intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | highly coiled intestine seen in Fig. 2.2
Boojho | is fascinated by | small intestine seen in Fig. 2.2
Boojho | is fascinated by | intestine seen
Boojho | is fascinated by | coiled small intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | highly coiled small intestine seen in Fig. 2.2
Molar Boojho | is fascinated by | small intestine seen
Boojho | is fascinated by | coiled small intestine
Boojho | is fascinated by | coiled intestine
Molar Boojho | is fascinated by | intestine seen
Boojho | is fascinated by | coiled intestine seen
Molar Boojho | is fascinated by | highly coiled small intestine seen
Molar Boojho | is fascinated by | highly coiled intestine
Boojho | is fascinated by | intestine
Boojho | is fascinated by | coiled intestine seen in Fig. 2.2
He | know | its length
He | wants | know
you | make | wild guess
you | make | guess
We | have given | its length
We | have given | its approximate length
such structure | is | how accommodated in small space
such long structure | is | how accommodated in space
long structure | is accommodated in | space within our body
such structure | is | how accommodated
such long structure | is | how accommodated in space within our body
structure | is accommodated in | space within our body
such long structure | is accommodated in | space
such structure | is accommodated in | space within our body
long structure | is | how accommodated in small space within our body
structure | is accommodated in | space
such long structure | is accommodated in | space within our body
such structure | is | how accommodated in small space within our body
such structure | is accommodated in | small space
structure | is accommodated in | small space
structure | is | accommodated
long structure | is | accommodated
structure | is accommodated in | small space within our body
such structure | is accommodated in | space
such long structure | is | how accommodated in small space within our body
such structure | is | accommodated
structure | is | how accommodated in space within our body
such long structure | is | how accommodated in small space
such long structure | is accommodated in | small space within our body
long structure | is | how accommodated in space
such structure | is | how accommodated in space
long structure | is | how accommodated in space within our body
such long structure | is accommodated in | small space
such long structure | is | accommodated
long structure | is accommodated in | space
such structure | is | how accommodated in space within our body
structure | is | how accommodated in space
structure | is | how accommodated
structure | is | how accommodated in small space
such long structure | is | how accommodated
structure | is | how accommodated in small space within our body
long structure | is | how accommodated
such structure | is accommodated in | small space within our body
long structure | is accommodated in | small space within our body
long structure | is | how accommodated in small space
long structure | is accommodated in | small space
body | is called | ingestion
body | is | called
We | chew | food
We | chew food with | teeth
separate socket | is in | gums
tooth | is rooted in | socket in gums
tooth | is rooted in | separate socket in gums
tooth | is rooted in | separate socket
tooth | is | rooted
tooth | is rooted in | socket
Our teeth | vary in | appearance
Our teeth | perform | functions
Our teeth | perform | different functions
they | are given | different names
they | are given | names
they | Accordingly are given | different names
they | Accordingly are given | Fig. 2.3
they | are given | Fig. 2.3
they | Accordingly are given | names
index finger | feel | teeth
you | could find | How many kinds of teeth
you | could find | kinds of teeth
you | could find | many kinds of teeth
piece | eat | it
Chewing teeth NUTRITION | is IN | ANIMALS Table
you | Do know | action on food
you | Do know | action
you | Do know | action of saliva
you | Do know | action of saliva on food
2.3 | Take | two test tubes
test tube B | keep | one teaspoonful
test tube B | keep | one teaspoonful of boiled rice
test tube B | keep | one teaspoonful of rice
4 mL | is in | test tubes
2 3 drops | is in | test tube
there change | is in | test tubes
there change | is in | colour
results | is with | your classmates
tongue | is | fleshy organ attached to floor of buccal cavity
tongue | is | fleshy muscular organ attached to floor
tongue | is | muscular organ attached at back to floor of cavity
tongue | is | fleshy muscular organ attached
tongue | is | fleshy organ attached at back to floor of cavity
tongue | is | fleshy organ attached at back to floor of buccal cavity
tongue | is | muscular organ attached to floor
tongue | is | muscular
tongue | is | muscular organ attached at back to floor of buccal cavity
tongue | is | organ attached to floor of buccal cavity
tongue | is | organ attached
tongue | is | organ attached at back to floor of cavity
tongue | is | muscular organ
tongue | is | fleshy
tongue | is | fleshy muscular organ attached at back
tongue | is | muscular organ attached at back to floor
tongue | is | muscular organ attached to floor of buccal cavity
tongue | is | fleshy muscular organ
tongue | is | organ attached at back to floor
tongue | is | organ attached to floor
tongue | is | organ
tongue | is | muscular organ attached to floor of cavity
tongue | is | organ attached at back
tongue | is | muscular organ attached at back
tongue | is | fleshy organ attached
tongue | is | fleshy organ attached at back to floor
tongue | is | fleshy muscular organ attached at back to floor of cavity
tongue | is | fleshy organ attached to floor of cavity
tongue | is | fleshy muscular organ attached to floor of cavity
tongue | is | organ attached to floor of cavity
tongue | is | organ attached at back to floor of buccal cavity
tongue | is | fleshy muscular organ attached at back to floor
tongue | is | fleshy organ attached at back
tongue | is | muscular organ attached
tongue | is | fleshy muscular organ attached to floor of buccal cavity
tongue | is | fleshy organ
tongue | is | fleshy organ attached to floor
tongue | is | fleshy muscular organ attached at back to floor of buccal cavity
It | is | free
It | be moved in | directions
It | is free at | front
you | Do know | functions
you | Do know | functions of tongue
We | use | our tongue
it | mixes saliva during | chewing
it | Besides mixes | saliva
it | mixes | saliva with food
it | mixes | saliva
it | Besides mixes | saliva with food
it | Besides mixes saliva during | chewing
saliva | is with | food
We | taste food with | our tongue
We | also taste food with | our tongue
We | also taste | food
We | taste | food
many harmful bacteria | live in | it
harmful bacteria | live in | it
sugars | present from | leftover food
sugars | present from | food
acids | damage | teeth
acids | gradually damage | teeth
acids | gradually damage | Fig. 2.5
acids | damage | Fig. 2.5
This | is called | tooth decay
This | is | called
severe toothache | results in | tooth loss
severe toothache | results | cases
toothache | results | extreme cases
severe toothache | results | extreme cases
toothache | results in | tooth loss
toothache | results | cases
Chocolates sweets drinks | major culprits | sugar products
Chocolates sweets drinks | are | culprits
Chocolates sweets soft drinks | major culprits | other sugar products
Chocolates sweets soft drinks | are | culprits
Chocolates sweets soft drinks | culprits | sugar products
Chocolates sweets drinks | culprits | sugar products
Chocolates sweets drinks | are | major culprits
Chocolates sweets soft drinks | are culprits of | tooth decay
Chocolates sweets soft drinks | major culprits | sugar products
Chocolates sweets drinks | major culprits | other sugar products
Chocolates sweets drinks | are major culprits of | tooth decay
Chocolates sweets soft drinks | are | major culprits
Chocolates sweets drinks | culprits | other sugar products
Chocolates sweets soft drinks | culprits | other sugar products
Chocolates sweets soft drinks | are major culprits of | tooth decay
Chocolates sweets drinks | are culprits of | tooth decay
one | Therefore should clean teeth with | brush
one | should clean teeth with | brush
one | should clean | teeth
one | Therefore should clean | teeth
you | eat in | hurry
food particles | enter | windpipe
windpipe | carries | air
windpipe | carries air from | nostrils
windpipe | carries air from | nostrils to lungs
It | runs | adjacent to foodpipe
It | runs | adjacent
air | share passage inside | throat
air | share | food
air | share | passage
air | share | common passage
food | entering | windpipe
food particles | enter | windpipe
we | feel | choked
food particles | enter windpipe by | chance
Repeat | is with | other classmates
swallowed food | passes into | foodpipe
food | passes into | foodpipe
foodpipe | runs along | neck position of taste buds
foodpipe | runs along | neck position
foodpipe | runs along | neck position of taste buds by following activity
foodpipe | runs along | neck position by following activity
foodpipe | runs along | neck position of taste buds by activity
foodpipe | runs along | neck position by activity
food | moves in | direction
food | moves during | vomiting
Paheli | wants | know
food | moves in | opposite direction
tongue | keep | it
sweet salty | areas | sour
sweet salty | areas | bitter substances
salty | areas | sour
sweet salty | areas | substances
salty | areas | bitter substances
salty | areas | substances
2.7 Movement | is in | oesophagus of alimentary canal NUTRITION
oesophagus | is IN | ANIMALS 15 2018-19
you | eating of | reason
you | eating of | reason for it
stomach | is | thick-walled bag
stomach | is | bag
stomach | is | thick-walled
J | is | widest part
flattened J | is | widest part
J | is part of | alimentary canal
J | is part of | canal
shape | is | flattened
flattened J | part | it
J | is widest part of | alimentary canal
flattened J | is widest part of | alimentary canal
J | widest part | it
J | part | it
flattened J | is part of | canal
flattened J | is | part
Its shape | is like | flattened J
flattened J | is part of | alimentary canal
flattened J | widest part | it
J | is widest part of | canal
J | is | part
Its shape | is like | J
flattened J | is widest part of | canal
It | opens into | small intestine
It | opens into | intestine
It | receives food at | one end
It | receives food from | food pipe
It | opens at | other
It | receives | food
lining | secretes | juices
inner lining | secretes | juices
inner lining | secretes | mucous juices
lining | secretes | mucous juices
mucous | protects | lining
mucous | protects | lining of stomach
acid | makes | medium in stomach
makes | medium in | stomach acidic
medium | is in | stomach acidic
acid | makes | medium
acid | helps | juices
acid | helps | act
acid | helps | digestive juices
acid | makes | medium in stomach acidic
makes | medium in | stomach
small intestine | is | coiled
intestine | is | highly coiled
intestine | is | coiled
small intestine | is | highly coiled
It | receives | secretions
It | receives | secretions from liver
its wall | Besides also secretes | juices
its wall | Besides secretes | juices
its wall | also secretes | juices
its wall | secretes | juices
liver | situated in | part of abdomen
liver | is | reddish gland situated in upper part of abdomen on right side
liver | is | brown gland situated in upper part on right side
liver | is | gland situated in part of abdomen on right side
liver | situated in | upper part
liver | is | reddish brown gland situated in part
liver | is | reddish brown gland situated on side
liver | is | gland
liver | is | brown gland situated in part on side
liver | is | reddish brown gland situated in part of abdomen on right side
liver | is | brown gland situated in upper part of abdomen on right side
liver | is | reddish brown gland situated in upper part of abdomen on side
liver | situated in | part
liver | is | brown gland situated in upper part
liver | is | brown gland situated
liver | is | reddish gland situated in upper part on side
liver | is | reddish brown gland situated in upper part on side
liver | is | brown gland situated in part of abdomen on side
liver | situated on | side
liver | is | gland situated in upper part of abdomen on side
liver | is | brown gland situated on side
liver | is | reddish gland situated in part of abdomen on side
liver | is | gland situated on side
liver | is | reddish gland situated in part
liver | is | gland situated in part of abdomen
liver | is | reddish brown gland situated in part of abdomen
liver | is | reddish brown gland situated in upper part
liver | is | brown gland situated in part on right side
liver | is | reddish gland situated in upper part
liver | is | reddish gland situated
liver | is | gland situated on right side
liver | is | reddish brown gland situated in part of abdomen on side
liver | is | brown gland situated in upper part of abdomen on side
liver | is | reddish
liver | is | brown
liver | is | reddish brown gland situated in upper part of abdomen on right side
liver | is | brown gland situated in part of abdomen on right side
liver | is | reddish brown gland situated
liver | is | gland situated in part on right side
liver | is | reddish gland situated in part of abdomen
liver | is | reddish gland situated in part on right side
liver | is | reddish brown gland
liver | is | reddish gland situated in part on side
liver | is | reddish brown gland situated in upper part on right side
liver | is | gland situated in upper part of abdomen
liver | is | brown gland situated in upper part of abdomen
liver | is | gland situated in upper part
liver | is | gland situated
liver | is | brown gland situated on right side
liver | is | reddish gland
liver | is | gland situated in upper part on right side
liver | is | reddish brown gland situated on right side
liver | is | gland situated in part of abdomen on side
liver | is | gland situated in part on side
liver | is | gland situated in part
liver | is | brown gland situated in part
liver | is | brown gland situated in upper part on side
liver | situated in | upper part of abdomen
liver | is | gland situated in upper part of abdomen on right side
liver | is | reddish gland situated on side
liver | is | reddish brown gland situated in part on right side
liver | is | reddish gland situated in upper part of abdomen on side
liver | is | gland situated in upper part on side
liver | is | brown gland
liver | is | reddish gland situated in part of abdomen on right side
liver | is | reddish brown gland situated in part on side
liver | is | brown gland situated in part of abdomen
liver | is | reddish gland situated on right side
liver | is | reddish gland situated in upper part of abdomen
liver | situated on | right side
liver | is | reddish brown gland situated in upper part of abdomen
liver | is | reddish gland situated in upper part on right side
largest gland | is in | body
It | is largest gland in | body
It | is gland in | body
It | is | gland
It | is | largest gland
bile | plays | important role
bile | plays | role
bile | plays role in | digestion
bile | plays role in | digestion of fats
pancreas | is | large cream gland located
pancreas | is | cream coloured gland located
pancreas | is | large cream coloured gland located
pancreas | is | large cream gland located below stomach
pancreas | is | large cream coloured gland located just below stomach
pancreas | is | large cream gland
pancreas | is | cream coloured gland
pancreas | is | large cream coloured gland
pancreas | is | cream coloured gland located just below stomach
pancreas | is | coloured
pancreas | is | cream gland located below stomach
pancreas | is | large cream gland located just below stomach
pancreas | is | cream gland located just below stomach
pancreas | is | cream gland
pancreas | is | large
pancreas | is | large cream coloured gland located below stomach
pancreas | is | located
pancreas | is | cream coloured gland located below stomach
pancreas | is | cream gland located
juice | acts on | carbohydrates
pancreatic juice | acts on | carbohydrates
juice | changes | them
pancreatic juice | changes | them
working | was discovered by | strange accident
working | was discovered by | accident
working | was | discovered
man | was | In 1822 hit by shot gun
man | was badly hit In | 1822
man | was | In 1822 badly hit by shot gun
man | was hit by | shot gun
man | was | hit
man | was badly hit by | shot gun
man | was | badly hit
man | was hit In | 1822
bullet | made hole in | his stomach
bullet | had damaged | chest wall
bullet | made | hole
bullet | had seriously damaged | chest wall
He | was brought to | American army doctor William Beaumont
He | was brought to | army doctor William Beaumont
He | was | brought
Beaumont | took | it
He | made | observations
He | made | wonderful observations
stomach | churning | Fig. 2.8 Alexis St. Martin 's shotgun wound food
Fig. 2.8 Alexis St. Martin | has | shotgun wound food
end | opens after | only digestion of food inside stomach
end | opens after | digestion of food
end | opens after | only digestion of food
end | opens after | only digestion
end | opens into | intestine
end | opens after | digestion of food inside stomach
He observed | is | completed
end | opens after | digestion
juice | completes | digestion of components of food
intestinal juice | completes | digestion of components of food
intestinal juice | digestion of | components of food
juice | digestion of | components of food
carbohydrates | get broken into | sugars
carbohydrates | get broken into | sugars into amino acids
carbohydrates | get broken into | simple sugars
carbohydrates | get broken into | simple sugars into amino acids
carbohydrates | get | broken
proteins | required by | body
This | is | called
This | is called | assimilation
energy | is | released
glucose breaks | is with | help of oxygen into carbon dioxide
undigested | enters | unabsorbed
undigested | enters into | large intestine
undigested | enters into | intestine
large intestine | is | wider
Absorption | is in | small intestine
intestine | is | wider
1.5 metre | is in | length
It | is | about 1.5 metre
It | is | about 1.5 metre in length
water | salts from | food material
water | salts from | undigested food material
Its function | absorb | water
waste | passes into | rectum
remaining waste | remains | there as faeces
remaining waste | remains | there
remains | there as | semi-solid faeces
waste | remains | there as semi-solid faeces
waste | remains | there
remaining waste | passes into | rectum
remaining waste | remains | there as semi-solid faeces
remains | there as | faeces
waste | remains | there as faeces
faecal matter | is | removed
matter | is | removed
matter | is removed through | anus from time-to-time
faecal matter | is removed through | anus from time-to-time
matter | is removed through | anus
faecal matter | is removed through | anus
This | is | called
This | is called | egestion
digested food | can pass into | blood vessels in wall
food | can now pass into | blood vessels in wall of intestine
food | can now pass into | blood vessels in wall
digested food | can now pass into | blood vessels in wall of intestine
digested food | can now pass into | blood vessels
food | can pass into | blood vessels in wall
digested food | can pass into | blood vessels in wall of intestine
food | can now pass into | blood vessels
digested food | can now pass into | blood vessels in wall
blood vessels | is in | wall of intestine
digested food | can pass into | blood vessels
food | can pass into | blood vessels
food | can pass into | blood vessels in wall of intestine
inner walls | have | thousands
inner walls | have | thousands of finger-like outgrowths
inner walls | have | thousands of outgrowths
walls | have | thousands of outgrowths
walls | have | thousands
walls | have | thousands of finger-like outgrowths
These | are called | villi
These | are | called
These | are called | villus
These | are called | singular villus
villi | increase surface area for | absorption
villi | increase | surface area
villi | increase surface area for | absorption of digested food
villi | increase surface area for | absorption of food
villus | has | network
villus | has | network of thin blood vessels
villus | has | network of blood vessels
surface | absorbs | digested food materials
surface | absorbs | food materials
they | build | complex substances
absorbed substances | are | transported
absorbed substances | are transported via | blood vessels
substances | are | transported via blood vessels to organs
they | are | used
they | build | substances
absorbed substances | are transported to | organs
substances | are transported to | organs
substances | are | transported
they | are | where used
2.3 DIGESTION | is IN | GRASS-EATING ANIMALS
absorbed substances | are | transported via blood vessels to organs
substances | are transported via | blood vessels
they | Actually quickly swallow | grass
they | quickly swallow | grass
they | swallow | grass
they | Actually swallow | grass
food | Here gets | Diarrhoea
food | gets | Diarrhoea
It | may | may caused by infection
It | may | may caused
It | is very common among | particularly children
It | is common among | children
It | is | very common in India among children
It | is very common in | India
It | is very common among | children
It | is | very common in India particularly among children
It | is | common in India among children
It | is | very common
It | is | common in India particularly among children
It | is common in | India
It | is | common
It | is common among | particularly children
it | can | Under severe conditions can fatal
it | can | Under conditions can fatal
it | can | can fatal
This | is because of | loss of water from body
This | is because of | excessive loss of water
This | is because of | loss
This | is because of | loss from body
This | is because of | excessive loss
This | is because of | loss of water
This | is because of | excessive loss of water from body
This | is because of | excessive loss from body
patient | be given | plenty
patient | plenty of | boiled
patient | be given plenty with | pinch of salt dissolved in it
patient | be given | plenty of boiled
doctor | is | consulted
patient | be given plenty with | pinch dissolved in it
patient | be given plenty with | pinch dissolved
patient | be given plenty with | pinch
patient | be given plenty with | pinch of salt dissolved
doctor | is | Even consulted
patient | be given plenty with | pinch of salt
This | is called | ORS
This | is called | Rehydration Solution
This | is called | Oral Rehydration Solution
This | is | called
Boojho | wants | do
we | cellulose like | cattle
cud returns | is in | small lumps
rumination | are called | ruminants
rumination | are | called
grass | is rich in | type
cellulose | type of | carbohydrate
grass | is rich in | type of carbohydrate
grass | is | rich
grass | is rich in | cellulose
Animals | have | large structure called between oesophagus
Animals | have | large structure
Animals | have | large sac-like structure called between oesophagus
Animals | have | large sac-like structure
Animals | have | large sac-like structure called
Animals | have | sac-like structure called between oesophagus
Animals | have | sac-like structure
Animals | have | structure called
Animals | have | sac-like structure called
Animals | have | structure called between oesophagus
Animals | have | structure
Animals | have | large structure called
cellulose | is digested by | action
cellulose | is | digested here
cellulose | is digested here by | action
cellulose | is | digested
they | digest | food
2.4 FEEDING | is IN | Amoeba
organism | found in | pond water
FEEDING | is | microscopic
single-celled organism | found in | pond water
FEEDING | is | single-celled
microscopic single-celled organism | found in | pond water
microscopic organism | found in | pond water
Amoeba | constantly changes | its shape
Amoeba | changes | its shape
Large Intestine Caecum Egested waste Fig. 2.10 Amoeba Fig. 2.9 system | feeds of | ruminant
Intestine Caecum waste Fig. 2.10 Amoeba Fig. 2.9 system | feeds of | ruminant
Intestine Caecum Egested waste Fig. Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Large Intestine Caecum waste Fig. 2.10 Amoeba Fig. 2.9 system | feeds of | ruminant
Large Intestine Caecum Egested waste Fig. Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Large Intestine Caecum Egested waste Fig. 2.10 Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Intestine Caecum Egested waste Fig. 2.10 Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Intestine Caecum waste Fig. Amoeba Fig. 2.9 system | feeds of | ruminant
Large Intestine Caecum waste Fig. Amoeba Fig. 2.9 system | feeds of | ruminant
Large Intestine Caecum waste Fig. Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Intestine Caecum waste Fig. 2.10 Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Intestine Caecum waste Fig. Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Large Intestine Caecum waste Fig. 2.10 Amoeba Fig. 2.9 Digestive system | feeds of | ruminant
Large Intestine Caecum Egested waste Fig. Amoeba Fig. 2.9 system | feeds of | ruminant
Intestine Caecum Egested waste Fig. 2.10 Amoeba Fig. 2.9 system | feeds of | ruminant
Intestine Caecum Egested waste Fig. Amoeba Fig. 2.9 system | feeds of | ruminant
it | engulfs | it
food | trapped in | Fig. 2.10
food | trapped in | food vacuole
food | becomes | trapped
food | becomes | trapped in food vacuole
Digestive juices | are | secreted
juices | are secreted into | food vacuole
Digestive juices | are secreted into | food vacuole
juices | are | secreted
They | act on | food
digested food | is | absorbed
food | is | absorbed
absorbed substances | are | used
substances | are used for | growth
substances | are | used
absorbed substances | are used for | growth
undigested residue | is | expelled
residue | is expelled outside | outside vacuole
residue | is | expelled
undigested residue | is expelled outside | outside vacuole
basic process | is same in | animals
process | is same in | animals
you | will learn about | transport of food
you | will learn about | transport of food absorbed to various parts of body
you | will learn about | transport of food absorbed by intestine to various parts of body
you | will learn about | transport of food absorbed by intestine to parts of body
you | will learn about | transport of food absorbed to parts
you | will learn about | transport of food absorbed by intestine to parts
